img_index,date,agri_year,phenology,cloud_tile_pct,cloud_roi_pct,satellite,parcel_id,group,NDVI,EVI,NDRE,NDWI,SAVI,CIre,GNDVI,MTCI
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,B-8,B,0.322264,0.257511,0.255988,-0.419264,0.241569,0.556611,0.419264,1.87421
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,C-9,C,0.342889,0.269614,0.273761,-0.437388,0.254645,0.61571,0.437388,2.039439
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,C-10,C,0.320795,0.258459,0.254343,-0.418661,0.242497,0.551802,0.418661,1.901359
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,C-11,C,0.357237,0.278078,0.28176,-0.448039,0.261905,0.64671,0.448039,2.155539
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,A-1,A,0.290609,0.245827,0.221358,-0.389677,0.230333,0.475701,0.389677,1.533237
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,A-2,A,0.274307,0.21383,0.207478,-0.375455,0.202878,0.441911,0.375455,1.811446
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,A-3,A,0.33908,0.269083,0.258934,-0.440886,0.256964,0.574116,0.440886,1.956599
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,A-4,A,0.287047,0.181527,0.219544,-0.375623,0.176105,0.493129,0.375623,1.970325
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,B-5,B,0.333441,0.26517,0.258726,-0.429092,0.251378,0.577411,0.429092,2.068686
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,B-6,B,0.324993,0.240079,0.249119,-0.415582,0.228983,0.561861,0.415582,2.650834
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,B-7,B,0.333558,0.269477,0.259774,-0.431685,0.254398,0.580137,0.431685,2.042436
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,B-8,B,0.336517,0.268125,0.262882,-0.437923,0.254945,0.573657,0.437923,1.919751
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,C-9,C,0.357697,0.284606,0.280295,-0.457585,0.272058,0.644709,0.457585,2.138681
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,C-10,C,0.329588,0.272036,0.255314,-0.429746,0.256291,0.55744,0.429746,1.951978
20181228T144729_20181228T144728_T19KCV,2018-12-28,2019,Cuajado,18.55,0.0,Sentinel-2B,C-11,C,0.384991,0.299859,0.297132,-0.482825,0.287618,0.701501,0.482825,2.53031
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,A-1,A,0.259437,0.203196,0.208025,-0.365534,0.194785,0.429035,0.365534,1.685137
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,A-2,A,0.271583,0.21125,0.218217,-0.380956,0.204098,0.456883,0.380956,1.677741
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,A-3,A,0.313172,0.237865,0.252895,-0.422525,0.231095,0.544583,0.422525,1.719682
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,A-4,A,0.299951,0.230634,0.243573,-0.414463,0.225014,0.513693,0.414463,1.651573
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,B-5,B,0.307007,0.231077,0.24866,-0.408263,0.222984,0.536343,0.408263,1.794098
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,B-6,B,0.318128,0.243672,0.257876,-0.418863,0.234073,0.56575,0.418863,1.815474
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,B-7,B,0.336329,0.247553,0.27053,-0.439096,0.240997,0.603561,0.439096,1.825746
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,B-8,B,0.334206,0.248117,0.271313,-0.439891,0.240988,0.593155,0.439891,1.7796
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,C-9,C,0.342994,0.250895,0.275953,-0.446481,0.245452,0.619848,0.446481,1.950883
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,C-10,C,0.32479,0.2438,0.25986,-0.430799,0.236753,0.558058,0.430799,1.72454
20190127T144729_20190127T145657_T19KCV,2019-01-27,2019,Crec.Fruto,0.87,0.0,Sentinel-2B,C-11,C,0.36445,0.262846,0.288272,-0.463146,0.256543,0.668643,0.463146,1.878133
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,A-1,A,0.251868,0.214874,0.213771,-0.340776,0.192811,0.427097,0.340776,1.637663
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,A-2,A,0.265641,0.226686,0.224331,-0.357339,0.204337,0.453786,0.357339,1.651854
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,A-3,A,0.287252,0.239421,0.242445,-0.376192,0.217054,0.502026,0.376192,1.702301
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,A-4,A,0.283752,0.240026,0.23998,-0.378186,0.218122,0.487489,0.378186,1.648335
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,B-5,B,0.287147,0.237311,0.240679,-0.369144,0.214027,0.502823,0.369144,1.733607
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,B-6,B,0.302689,0.254084,0.252796,-0.385132,0.228446,0.532661,0.385132,1.756285
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,B-7,B,0.308743,0.251929,0.258541,-0.388825,0.227437,0.556205,0.388825,1.909451
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,B-8,B,0.308733,0.253703,0.261332,-0.392617,0.229213,0.551451,0.392617,1.867216
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,C-9,C,0.315949,0.256478,0.265068,-0.397773,0.232581,0.573097,0.397773,1.92907
20190206T144729_20190206T145614_T19KCV,2019-02-06,2019,Crec.Fruto,25.69,0.0,Sentinel-2B,C-10,C,0.308564,0.255512,0.255312,-0.393543,0.230812,0.535715,0.393543,1.777568
